link,pred,prey,log10_ppmr
0,2.20804627643921e-4,2.22900163471537e-4,-0.004102215848535631
0,2.70286739993669e-4,2.22900163471537e-4,0.08371435316842066
0,3.91740381171809e-4,2.22900163471537e-4,0.24488795458095644
0,5.23166588876246e-4,2.22900163471537e-4,0.3705296137552896
0,1.50922294763019e-4,2.22900163471537e-4,-0.16935698698859825
0,4.16964364574935e-4,2.22900163471537e-4,0.27198855304902064
0,4.18876134989354e-4,2.22900163471537e-4,0.2739752306267044
0,2.22900163471537e-4,2.22900163471537e-4,0
0,1.30652153227862e-5,2.22900163471537e-4,-1.2319938154226564
0,7.11474224308155e-5,2.22900163471537e-4,-0.49595121614679794
0,5.35782467475548e-4,2.22900163471537e-4,0.3808781110081281
0,3.98766938745432e-5,2.22900163471537e-4,-0.7473912426505718
0,2.50865225512611e-4,2.22900163471537e-4,0.0513300773797407
0,1.99564746542808e-4,2.22900163471537e-4,-0.048026562128805
0,8.94759846433935e-5,2.22900163471537e-4,-0.3964039006793718
0,4.16964364574935e-4,2.70286739993669e-4,0.18827419988059999
0,5.23166588876246e-4,2.70286739993669e-4,0.28681526058686896
0,4.18876134989354e-4,2.70286739993669e-4,0.19026087745828374
0,5.35782467475548e-4,2.70286739993669e-4,0.2971637578397074
0,3.91740381171809e-4,2.70286739993669e-4,0.1611736014125358
0,2.70286739993669e-4,2.70286739993669e-4,0
0,1.50922294763019e-4,2.70286739993669e-4,-0.2530713401570189
0,7.11474224308155e-5,2.70286739993669e-4,-0.5796655693152186
0,1.99564746542808e-4,2.70286739993669e-4,-0.13174091529722567
0,2.20804627643921e-4,2.70286739993669e-4,-0.08781656901695631
0,8.94759846433935e-5,2.70286739993669e-4,-0.4801182538477925
0,3.98766938745432e-5,2.70286739993669e-4,-0.8311055958189925
1,2.22900163471537e-4,2.70286739993669e-4,-0.08371435316842064
0,2.50865225512611e-4,2.70286739993669e-4,-0.03238427578868001
1,1.30652153227862e-5,2.70286739993669e-4,-1.3157081685910772
0,2.22900163471537e-4,2.20804627643921e-4,0.004102215848535628
0,1.50922294763019e-4,2.20804627643921e-4,-0.16525477114006262
0,5.23166588876246e-4,2.20804627643921e-4,0.37463182960382524
0,3.91740381171809e-4,2.20804627643921e-4,0.24899017042949206
0,2.70286739993669e-4,2.20804627643921e-4,0.08781656901695632
0,4.16964364574935e-4,2.20804627643921e-4,0.27609076889755624
0,5.35782467475548e-4,2.20804627643921e-4,0.38498032685666367
0,2.50865225512611e-4,2.20804627643921e-4,0.05543229322827631
0,8.94759846433935e-5,2.20804627643921e-4,-0.39230168483083616
0,1.30652153227862e-5,2.20804627643921e-4,-1.2278915995741209
0,4.18876134989354e-4,2.20804627643921e-4,0.27807744647524
0,3.98766938745432e-5,2.20804627643921e-4,-0.7432890268020361
0,2.20804627643921e-4,2.20804627643921e-4,0
0,7.11474224308155e-5,2.20804627643921e-4,-0.4918490002982623
0,1.99564746542808e-4,2.20804627643921e-4,-0.04392434628026939
0,2.22900163471537e-4,3.91740381171809e-4,-0.24488795458095647
0,1.99564746542808e-4,3.91740381171809e-4,-0.2929145167097615
0,4.18876134989354e-4,3.91740381171809e-4,0.02908727604574795
0,8.94759846433935e-5,3.91740381171809e-4,-0.6412918552603283
0,5.35782467475548e-4,3.91740381171809e-4,0.13599015642717163
0,4.16964364574935e-4,3.91740381171809e-4,0.027100598468064202
0,2.70286739993669e-4,3.91740381171809e-4,-0.16117360141253576
0,3.98766938745432e-5,3.91740381171809e-4,-0.9922791972315282
0,3.91740381171809e-4,3.91740381171809e-4,0
0,2.20804627643921e-4,3.91740381171809e-4,-0.2489901704294921
0,5.23166588876246e-4,3.91740381171809e-4,0.12564165917433312
0,2.50865225512611e-4,3.91740381171809e-4,-0.19355787720121576
0,1.50922294763019e-4,3.91740381171809e-4,-0.41424494156955466
0,7.11474224308155e-5,3.91740381171809e-4,-0.7408391707277544
0,1.30652153227862e-5,3.91740381171809e-4,-1.476881770003613
0,1.50922294763019e-4,7.11474224308155e-5,0.32659422915819974
0,5.35782467475548e-4,7.11474224308155e-5,0.876829327154926
0,3.91740381171809e-4,7.11474224308155e-5,0.7408391707277544
0,3.98766938745432e-5,7.11474224308155e-5,-0.2514400265037738
0,2.22900163471537e-4,7.11474224308155e-5,0.49595121614679794
0,2.70286739993669e-4,7.11474224308155e-5,0.5796655693152186
0,2.50865225512611e-4,7.11474224308155e-5,0.5472812935265386
0,5.23166588876246e-4,7.11474224308155e-5,0.8664808299020875
0,7.11474224308155e-5,7.11474224308155e-5,0
0,4.16964364574935e-4,7.11474224308155e-5,0.7679397691958186
0,2.20804627643921e-4,7.11474224308155e-5,0.49184900029826234
0,8.94759846433935e-5,7.11474224308155e-5,0.0995473154674261
0,1.99564746542808e-4,7.11474224308155e-5,0.4479246540179929
0,4.18876134989354e-4,7.11474224308155e-5,0.7699264467735023
1,1.30652153227862e-5,7.11474224308155e-5,-0.7360425992758586
0,3.91740381171809e-4,1.99564746542808e-4,0.29291451670976143
0,4.16964364574935e-4,1.99564746542808e-4,0.32001511517782566
0,2.70286739993669e-4,1.99564746542808e-4,0.13174091529722565
0,3.98766938745432e-5,1.99564746542808e-4,-0.6993646805217667
0,2.22900163471537e-4,1.99564746542808e-4,0.04802656212880501
0,5.23166588876246e-4,1.99564746542808e-4,0.4185561758840946
0,4.18876134989354e-4,1.99564746542808e-4,0.3220017927555094
0,1.99564746542808e-4,1.99564746542808e-4,0
0,2.50865225512611e-4,1.99564746542808e-4,0.09935663950854567
0,7.11474224308155e-5,1.99564746542808e-4,-0.4479246540179929
0,5.35782467475548e-4,1.99564746542808e-4,0.4289046731369331
0,8.94759846433935e-5,1.99564746542808e-4,-0.3483773385505668
0,1.50922294763019e-4,1.99564746542808e-4,-0.12133042485979323
0,2.20804627643921e-4,1.99564746542808e-4,0.043924346280269415
1,1.30652153227862e-5,1.99564746542808e-4,-1.1839672532938514
0,7.11474224308155e-5,8.94759846433935e-5,-0.09954731546742615
0,2.50865225512611e-4,8.94759846433935e-5,0.44773397805911247
1,1.30652153227862e-5,8.94759846433935e-5,-0.8355899147432847
